label,original_label,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_width,bbox_height,bbox_depth,min_intensity,max_intensity,sum_intensity,area,mean_intensity,sum_intensity_times_x,mass_center_x,sum_intensity_times_y,mass_center_y,sum_intensity_times_z,mass_center_z,sum_x,centroid_x,sum_y,centroid_y,sum_z,centroid_z,sum_distance_to_centroid,mean_distance_to_centroid,sum_distance_to_mass_center,mean_distance_to_mass_center,standard_deviation_intensity,max_distance_to_centroid,max_distance_to_mass_center,mean_max_distance_to_centroid_ratio,mean_max_distance_to_mass_center_ratio,annotated_class,key
3,3,565,455,0,599,490,0,35,36,1,7812,14457,9679475,878,11024.458,5648274400,583.53107,4579609600,473.12582,0,0,512669,583.90546,414823,472.46353,0,0,9871.244,11.242874,9887.689,11.261604,1325.747,19.314486,18.880165,1.7179313,1.6765076,2,18
4,4,124,492,0,142,515,0,19,24,1,8021,20371,3568953,349,10226.226,474827300,133.04385,1798638700,503.96814,0,0,46453,133.10315,175817,503.77362,0,0,2483.969,7.117389,2484.3425,7.1184597,2281.4514,12.401757,12.605057,1.7424588,1.7707562,2,24
5,5,101,510,0,121,529,0,21,20,1,8446,24948,3683088,312,11804.77,408221280,110.836685,1911390500,518.96405,0,0,34581,110.83654,161944,519.0513,0,0,2083.1602,6.6767955,2083.254,6.677096,3560.2627,10.981205,10.933263,1.6446819,1.6374278,2,30
6,6,490,821,0,507,831,0,18,11,1,16853,31474,404959,18,22497.723,201106620,496.60986,335289280,827.9586,0,0,8953,497.3889,14897,827.61115,0,0,109.525986,6.084777,108.30527,6.016959,4073.5276,11.665365,12.505091,1.9171394,2.0783074,2,36
7,7,562,941,0,585,963,0,24,23,1,8610,19116,4859126,380,12787.174,2783817200,572.9049,4619916300,950.77106,0,0,217981,573.6342,361469,951.23425,0,0,2886.1199,7.5950527,2898.0312,7.6263986,1944.8535,15.494997,14.642082,2.0401435,1.9199209,2,42
8,8,354,1367,0,378,1396,0,25,30,1,8321,19783,6881340,596,11545.872,2519702300,366.1645,9507210000,1381.5929,0,0,218093,365.92786,823090,1381.0234,0,0,5530.998,9.280198,5539.512,9.294483,1799.339,16.347868,16.612926,1.7615861,1.7873964,2,48
9,9,334,1377,0,353,1395,0,20,19,1,9486,24560,4022670,291,13823.608,1381977600,343.54733,5577621000,1386.547,0,0,100019,343.70792,403438,1386.3849,0,0,1869.3401,6.423849,1870.1381,6.4265914,3143.1619,9.97055,10.063605,1.5521145,1.565932,2,54
1,1,284,928,0,298,942,0,15,15,1,7453,17148,1822150,181,10067.127,529733920,290.71915,1704180200,935.25793,0,0,52626,290.75137,169295,935.3314,0,0,917.7796,5.0706053,917.846,5.070972,2285.4468,7.830695,7.869962,1.5443314,1.5519632,2,7
2,2,263,936,0,273,948,0,11,13,1,8089,10818,948640,111,8546.307,254347220,268.11774,893777800,942.1675,0,0,29762,268.12613,104576,942.12616,0,0,444.17773,4.001601,444.20026,4.0018044,571.6548,6.766754,6.807735,1.6910117,1.7011664,2,14
1,1,887,1047,0,892,1077,0,6,31,1,7093,11625,211345,23,9188.912,187935490,889.23553,223701950,1058.4681,0,0,20447,888.99994,24377,1059.8695,0,0,181.7357,7.9015517,181.52625,7.892445,1438.1884,17.159653,18.573002,2.1716814,2.3532634,2,8
