label,area,centroid-0,centroid-1,eccentricity,mean_intensity,max_intensity,min_intensity,annotated_class,key
[1],[719],[100.89986092],[100.6550765],[0.72897978],[170.15577191],[252.],[90.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[15],[92.13333333],[114.46666667],[0.47609523],[116.2],[136.],[102.],2,[2]
[1],[653],[99.91577335],[101.62480858],[0.9171007],[156.68453292],[255.],[87.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[670],[101.02985075],[100.11641791],[0.93627624],[196.91044776],[252.],[110.],2,[2]
[1 2],[32 35],[ 84.34375    122.08571429],[108.40625     88.68571429],[0.42608805 0.54817794],[171.375      186.54285714],[206. 221.],[144. 156.],2,[2 4]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[1077],[111.49767874],[111.22655525],[0.80577918],[136.12441968],[255.],[59.],2,[2]
[1 2 3],[25 22 24],[103.08       127.90909091 132.5       ],[ 92.8        116.90909091  97.91666667],[0.46325943 0.4282594  0.40414519],[185.68       176.31818182 185.70833333],[210. 198. 207.],[168. 157. 165.],2,[2 4 6]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[49],[110.7755102],[97.73469388],[0.39266239],[179.63265306],[208.],[152.],2,[2]
[1],[157],[98.62420382],[109.36942675],[0.70807156],[150.65605096],[198.],[91.],2,[2]
[1],[1140],[100.24473684],[101.02894737],[0.78638557],[136.03421053],[254.],[58.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1 2],[22 24],[ 95.27272727 105.45833333],[ 98.18181818 118.83333333],[0.5029066  0.67951374],[161.95454545 158.79166667],[191. 178.],[142. 133.],2,[2 4]
[1],[811],[102.94451295],[97.37361282],[0.88906399],[149.01479655],[255.],[100.],2,[2]
[1],[627],[100.33173844],[99.75598086],[0.68319614],[173.74960128],[253.],[108.],2,[2]
[1],[274],[89.19708029],[106.09124088],[0.79980189],[144.76642336],[245.],[110.],2,[2]
[1 2],[788 161],[ 99.37436548 112.67701863],[101.52918782  88.0931677 ],[0.66331659 0.61089162],[186.33375635 145.48447205],[255. 176.],[114. 108.],2,[2 4]
[],[],[],[],[],[],[],[],2,[]
[1],[2269],[100.46848832],[101.11767298],[0.58421867],[171.46187748],[255.],[0.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1 2 3],[34 55 29],[ 96.41176471 100.10909091 102.5862069 ],[110.          97.09090909 105.55172414],[0.54595548 0.7267119  0.54177458],[138.         138.61818182 141.82758621],[177. 164. 157.],[112. 117. 126.],2,[2 4 6]
[1],[1016],[99.91633858],[101.1269685],[0.7911246],[151.88188976],[255.],[81.],2,[2]
[1],[1569],[102.3499044],[104.14276609],[0.93656916],[131.19949012],[255.],[66.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[1456],[99.70054945],[98.56043956],[0.81862571],[159.75137363],[254.],[67.],2,[2]
[1],[805],[99.50559006],[99.5515528],[0.77089784],[182.50186335],[254.],[106.],2,[2]
[1],[771],[100.66666667],[99.21789883],[0.69259349],[132.62905318],[254.],[84.],2,[2]
[1],[132],[95.62878788],[103.23484848],[0.77759929],[169.00757576],[230.],[104.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[1277],[100.45105717],[100.43696163],[0.79272049],[142.36413469],[255.],[64.],2,[2]
[1 2 3 4 5 6],[41 21 17 37 17 24],"[ 75.          86.61904762  87.35294118 113.43243243 122.88235294
 138.5       ]","[ 94.         140.23809524  75.52941176 102.37837838 108.41176471
 107.70833333]",[0.55117825 0.45311589 0.77033799 0.61939465 0.62594323 0.65408875],"[129.48780488 110.76190476 113.47058824 134.43243243 120.05882353
 129.375     ]",[152. 120. 123. 153. 127. 141.],[112.  98. 108. 122. 113. 118.],2,[ 2  4  6  8 10 12]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
[1],[673],[98.16047548],[98.77414562],[0.67632242],[184.30312036],[253.],[127.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1],[1200],[98.8175],[101.41166667],[0.72459331],[158.06],[253.],[12.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1 2],[320 375],[ 91.6125     109.63466667],[101.14375  99.176  ],[0.70927174 0.71158661],[158.73125    150.41333333],[210. 255.],[ 98. 103.],2,[2 4]
[1],[801],[101.70411985],[101.70536829],[0.79918741],[189.69413233],[254.],[96.],2,[2]
[1],[679],[100.56701031],[100.59351988],[0.93385682],[196.08836524],[255.],[154.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1],[692],[99.98265896],[99.90606936],[0.77346745],[158.94653179],[253.],[93.],2,[2]
[1],[757],[100.17965654],[99.80581242],[0.62993247],[171.09114927],[253.],[91.],2,[2]
[],[],[],[],[],[],[],[],2,[]
[1 2],[78 34],[106.3974359 117.5      ],[103.58974359  91.58823529],[0.45530954 0.55386983],[171.14102564 175.38235294],[241. 198.],[143. 144.],2,[2 4]
[1],[36],[105.94444444],[104.61111111],[0.72726594],[166.58333333],[196.],[138.],2,[2]
[1 2 3],[19 18 16],[ 88.84210526  90.55555556 119.3125    ],[116.15789474 131.5         76.125     ],[0.52070373 0.60904858 0.38117067],[165.57894737 166.16666667 167.125     ],[193. 195. 191.],[150. 134. 143.],2,[2 4 6]
[],[],[],[],[],[],[],[],2,[]
[],[],[],[],[],[],[],[],2,[]
