label,area,centroid-0,centroid-1,eccentricity,mean_intensity,max_intensity,min_intensity,annotated_class,key
[1 2 3 4 5],[55 31 45 20 29],[ 78.78181818  82.          83.44444444  99.25       112.72413793],[104.63636364 123.          86.15555556 101.75       119.68965517],[0.83210429 0.69337525 0.6091273  0.27524094 0.74599566],[199.72727273 212.29032258 207.37777778 211.05       211.62068966],[221. 251. 232. 230. 242.],[173. 186. 179. 194. 175.],1,[1 2 3 4 5]
[1],[1366],[101.62811127],[100.46046852],[0.37482657],[153.63396779],[253.],[0.],1,[1]
[1 2 3],[15 22 24],[ 81.          94.90909091 104.04166667],[ 97.4         81.09090909 107.875     ],[0.65828059 0.4282594  0.62882131],[150.53333333 161.18181818 162.20833333],[176. 182. 190.],[118. 138. 139.],1,[1 2 3]
[1],[17],[94.88235294],[77.41176471],[0.62594323],[131.35294118],[151.],[120.],1,[1]
[1 2],[23 20],[ 91.60869565 109.25      ],[86.95652174 87.95      ],[0.34693096 0.63816827],[156.  155.7],[188. 182.],[133. 133.],1,[1 2]
[1],[1295],[100.41930502],[101.14285714],[0.87449631],[168.6],[255.],[3.],1,[1]
[1],[1896],[98.56909283],[100.01318565],[0.66577398],[160.11339662],[255.],[0.],1,[1]
[1],[1140],[100.0754386],[100.36666667],[0.73747583],[153.62982456],[255.],[5.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1484],[102.40026954],[97.91239892],[0.64391333],[157.6745283],[255.],[96.],1,[1]
[1],[1646],[100.88456865],[101.2144593],[0.6584197],[147.18712029],[255.],[0.],1,[1]
[1],[2867],[99.22148587],[99.21067318],[0.62062507],[145.67771189],[251.],[60.],1,[1]
[1],[3464],[98.75721709],[99.37211316],[0.67349354],[133.38943418],[253.],[66.],1,[1]
[1],[1513],[99.60806345],[99.61533377],[0.55650075],[157.83542631],[250.],[0.],1,[1]
[1],[1378],[99.75399129],[98.76487663],[0.57189944],[150.36502177],[254.],[2.],1,[1]
[1],[476],[101.10294118],[94.31932773],[0.75425065],[147.11134454],[255.],[107.],1,[1]
[1 2],[39 33],[ 96.56410256 109.39393939],[100.20512821 113.96969697],[0.5024894  0.78619149],[188.28205128 168.09090909],[223. 181.],[165. 155.],1,[1 2]
[1],[918],[99.32026144],[100.0751634],[0.85366484],[170.66339869],[255.],[86.],1,[1]
[1],[902],[105.4789357],[101.09866962],[0.77364895],[174.05654102],[255.],[116.],1,[1]
[1],[2993],[101.17373872],[101.38322753],[0.64554207],[150.75141998],[255.],[7.],1,[1]
[1],[1754],[98.28677309],[100.71949829],[0.80370486],[145.13340935],[255.],[0.],1,[1]
[1],[805],[100.84347826],[101.04596273],[0.80510766],[160.84968944],[255.],[89.],1,[1]
[1],[21],[111.9047619],[111.52380952],[0.74298814],[161.19047619],[189.],[144.],1,[1]
[1],[2293],[106.37243785],[99.94112516],[0.87255841],[148.28041867],[255.],[65.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1683],[100.40344623],[100.27569816],[0.72929536],[169.9506833],[255.],[0.],1,[1]
[1 2 3 4 5 6 7],[38 62 33 38 36 27 16],"[ 93.21052632  92.67741935  97.42424242 106.05263158 106.61111111
 106.         114.6875    ]","[102.84210526 117.91935484  94.42424242  81.13157895 104.13888889
 114.         112.9375    ]","[0.37921612 0.83585617 0.36273813 0.63531712 0.54390564 0.72836986
 0.71176396]","[188.47368421 188.06451613 190.03030303 198.10526316 166.61111111
 193.92592593 163.4375    ]",[250. 251. 230. 255. 214. 236. 174.],[149. 138. 159. 165. 141. 167. 149.],1,[1 2 3 4 5 6 7]
[1],[279],[106.48387097],[103.16129032],[0.78079225],[162.53763441],[239.],[92.],1,[1]
[1],[1297],[101.04857363],[101.7309175],[0.63743459],[170.94371627],[253.],[84.],1,[1]
[1],[509],[100.43222004],[101.60903733],[0.90554674],[187.33202358],[254.],[104.],1,[1]
[1 2],[28 20],[120.  122.3],[ 98.32142857 109.1       ],[0.5461806  0.52429669],[139.03571429 145.45      ],[168. 173.],[116. 124.],1,[1 2]
[1],[857],[100.13885648],[100.82030338],[0.90332739],[183.08751459],[251.],[92.],1,[1]
[1],[1507],[100.15859323],[99.60982084],[0.88816062],[154.39084273],[255.],[0.],1,[1]
[1],[1344],[101.78199405],[101.25520833],[0.53306705],[175.04761905],[253.],[76.],1,[1]
[1],[1579],[99.05953135],[100.42241925],[0.79479647],[159.18556048],[255.],[0.],1,[1]
[1],[930],[97.77849462],[101.30752688],[0.94244138],[140.79032258],[250.],[74.],1,[1]
[1],[1432],[103.50349162],[101.23044693],[0.5380822],[153.72765363],[255.],[64.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[],[],[],[],[],[],[],[],1,[]
[1],[1239],[97.8393866],[102.41242938],[0.85029781],[167.99031477],[255.],[73.],1,[1]
[1],[726],[100.86639118],[99.82369146],[0.67506409],[179.92286501],[255.],[0.],1,[1]
[1],[1418],[101.59449929],[101.63892807],[0.38186821],[166.17983075],[250.],[0.],1,[1]
[1 2 3 4 5 6 7 8],[31 19 47 49 27 35 57 36],"[ 68.35483871  76.63157895  93.0212766   97.55102041 110.92592593
 112.57142857 122.40350877 127.33333333]","[118.19354839 125.05263158  70.57446809 108.93877551 126.40740741
  89.48571429 107.98245614  75.88888889]","[0.72277992 0.68161343 0.72618091 0.52395103 0.5724126  0.85519609
 0.50048504 0.66760501]","[188.87096774 178.21052632 175.10638298 206.57142857 187.2962963
 188.42857143 209.78947368 175.41666667]",[215. 188. 204. 227. 207. 210. 255. 211.],[165. 166. 152. 184. 172. 162. 170. 145.],1,[1 2 3 4 5 6 7 8]
[1],[1267],[100.76243094],[100.03235991],[0.73209099],[166.20836622],[251.],[0.],1,[1]
[1],[606],[98.75247525],[102.74092409],[0.81889828],[160.01650165],[255.],[100.],1,[1]
[1],[1719],[101.59918557],[100.62303665],[0.76043939],[155.94531704],[254.],[23.],1,[1]
[1],[2399],[101.46727803],[100.77615673],[0.68183599],[142.05127136],[252.],[0.],1,[1]
[1],[1291],[99.55925639],[100.26646011],[0.80560842],[147.45236251],[249.],[68.],1,[1]
[1],[1495],[100.71170569],[101.88762542],[0.63949718],[149.34916388],[255.],[0.],1,[1]
[1],[1360],[99.67647059],[98.76911765],[0.71200872],[145.42941176],[252.],[54.],1,[1]
[1],[1194],[98.15577889],[103.7001675],[0.86276847],[162.70184255],[255.],[72.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1612],[99.58995037],[100.74131514],[0.65728754],[166.41935484],[255.],[0.],1,[1]
[1 2],[30 20],[102.13333333 108.5       ],[86.9 80.8],[0.86796009 0.23354968],[146.86666667 123.75      ],[178. 145.],[126.  99.],1,[1 2]
[1],[924],[98.70995671],[101.89177489],[0.51446255],[163.61471861],[255.],[0.],1,[1]
[1 2 3 4 5 6],[27 26 24 20 53 28],"[ 83.25925926  97.07692308 105.125      112.9        120.37735849
 122.10714286]","[106.59259259 114.92307692  80.         100.05        90.35849057
 107.03571429]",[0.3340637  0.55329237 0.79413716 0.39295262 0.70592804 0.726867  ],"[199.44444444 196.84615385 181.16666667 199.35       206.32075472
 203.07142857]",[240. 230. 209. 234. 241. 240.],[173. 167. 158. 176. 167. 153.],1,[1 2 3 4 5 6]
[1],[3020],[99.29039735],[99.90728477],[0.80553126],[137.63940397],[255.],[0.],1,[1]
[1],[1252],[100.50798722],[94.2571885],[0.69539656],[153.16693291],[255.],[84.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[2118],[100.17044381],[100.75826251],[0.63503055],[162.01227573],[255.],[0.],1,[1]
[1],[1217],[100.27198028],[101.95152013],[0.81259344],[149.5168447],[254.],[62.],1,[1]
[1],[3919],[99.61087012],[96.79612146],[0.73925418],[143.3097729],[253.],[20.],1,[1]
[1],[1585],[100.0384858],[98.44984227],[0.62105723],[142.34574132],[254.],[0.],1,[1]
[1],[2060],[100.66747573],[100.05194175],[0.42475825],[150.06650485],[253.],[0.],1,[1]
[1],[1170],[96.98034188],[99.32564103],[0.90687851],[151.70683761],[254.],[0.],1,[1]
[1],[4919],[101.73978451],[99.1467778],[0.55381567],[152.77719049],[249.],[77.],1,[1]
[1],[1322],[98.8494705],[98.91149773],[0.66638935],[168.33434191],[255.],[0.],1,[1]
[1],[1387],[98.50612833],[101.72819034],[0.84963982],[142.28478731],[255.],[0.],1,[1]
[1],[3341],[99.97306196],[100.63603711],[0.61897231],[147.34570488],[255.],[0.],1,[1]
[1],[2460],[101.22235772],[100.94593496],[0.79633033],[160.56910569],[253.],[0.],1,[1]
[1 2 3 4 5 6],[38 35 35 31 23 32],"[ 70.65789474  83.94285714  93.17142857  96.90322581 101.17391304
 114.        ]","[106.78947368  89.11428571 106.57142857  94.4516129  110.
  98.09375   ]",[0.47215372 0.07636035 0.6639252  0.60282625 0.12869789 0.63002785],"[184.31578947 188.22857143 189.02857143 191.06451613 196.56521739
 191.9375    ]",[214. 220. 205. 208. 218. 213.],[160. 160. 176. 170. 174. 172.],1,[1 2 3 4 5 6]
[1],[1462],[100.84815321],[101.54651163],[0.86246262],[154.26470588],[255.],[0.],1,[1]
[1 2 3 4],[41 63 49 86],[ 86.41463415  88.31746032  96.69387755 111.1744186 ],[ 99.68292683 113.49206349 114.87755102 115.93023256],[0.86732428 0.75207932 0.49875071 0.67891743],[166.75609756 167.23809524 172.51020408 177.69767442],[188. 234. 220. 255.],[143. 132. 144. 123.],1,[1 2 3 4]
[1],[312],[96.62820513],[88.9775641],[0.87647308],[157.68910256],[255.],[105.],1,[1]
[1],[1194],[99.9840871],[100.72445561],[0.47419314],[144.36097152],[253.],[24.],1,[1]
[1],[2189],[100.21105528],[100.43170397],[0.70446407],[152.36592051],[248.],[11.],1,[1]
[1],[2310],[100.5961039],[98.58051948],[0.38697312],[138.38658009],[250.],[20.],1,[1]
[1],[1369],[99.42147553],[100.37107378],[0.48892609],[132.12636961],[255.],[59.],1,[1]
[1],[1733],[98.7593768],[100.52106174],[0.69431142],[154.87132141],[255.],[0.],1,[1]
[1],[1597],[98.0845335],[98.62366938],[0.89951446],[176.79148403],[254.],[2.],1,[1]
[1 2 3],[38 40 17],[ 74.34210526  87.575      122.76470588],[ 95.39473684 107.65       107.47058824],[0.64317512 0.63809056 0.82242327],[173.42105263 177.275      152.17647059],[207. 211. 159.],[148. 146. 143.],1,[1 2 3]
[1],[1310],[99.13587786],[99.60381679],[0.75871257],[169.93435115],[250.],[0.],1,[1]
[1],[60],[105.53333333],[109.23333333],[0.70322225],[194.98333333],[255.],[166.],1,[1]
[1],[674],[101.37091988],[98.52225519],[0.4725139],[175.93323442],[255.],[68.],1,[1]
[1],[1746],[100.93928981],[99.59507446],[0.36484936],[138.79152348],[255.],[50.],1,[1]
[1],[3797],[96.10481959],[98.2773242],[0.70933373],[147.56913353],[255.],[0.],1,[1]
[1],[1914],[98.41797283],[99.88349007],[0.78194904],[152.40856844],[255.],[93.],1,[1]
[1 2],[1730 1018],[ 81.17283237 120.47740668],[97.0716763  86.14636542],[0.67792408 0.80139595],[149.39248555 123.09823183],[255. 191.],[83. 53.],1,[1 2]
[1],[1382],[99.1447178],[98.42836469],[0.83578047],[184.16063676],[254.],[14.],1,[1]
[1],[909],[99.20352035],[97.69966997],[0.59667863],[150.19691969],[255.],[77.],1,[1]
[1],[1256],[98.66003185],[92.77786624],[0.82785425],[139.9156051],[250.],[54.],1,[1]
[1],[1168],[100.30222603],[100.0265411],[0.80325613],[165.62414384],[255.],[82.],1,[1]
[1],[2904],[99.52754821],[98.34125344],[0.56708531],[165.59538567],[255.],[0.],1,[1]
[1],[441],[107.58730159],[97.00907029],[0.92680372],[164.72108844],[255.],[127.],1,[1]
[1 2 3 4],[33 84 68 29],[ 79.96969697  92.85714286 101.88235294 110.34482759],[102.06060606  78.76190476 100.33823529 111.24137931],[0.83367622 0.84614255 0.40569224 0.85212353],[182.75757576 178.57142857 190.05882353 169.72413793],[201. 255. 245. 189.],[158. 137. 162. 158.],1,[1 2 3 4]
[1],[1219],[99.22887613],[99.84495488],[0.73191546],[169.13289582],[255.],[82.],1,[1]
[1],[1171],[101.60119556],[102.10333049],[0.75879507],[170.45345858],[255.],[100.],1,[1]
[1],[1993],[99.95835424],[99.45408931],[0.72503797],[161.22177622],[255.],[0.],1,[1]
[1],[1308],[99.07492355],[100.52752294],[0.43337415],[166.41819572],[255.],[3.],1,[1]
[1],[815],[100.43680982],[99.82944785],[0.72604585],[173.31533742],[255.],[0.],1,[1]
[1],[1259],[99.46147736],[101.69023034],[0.44341989],[182.94996029],[255.],[97.],1,[1]
[1 2 3],[21 18 30],[103.76190476 116.27777778 119.06666667],[106.38095238  89.61111111 107.26666667],[0.45311589 0.72265914 0.81472101],[187.76190476 174.44444444 168.6       ],[213. 200. 194.],[165. 156. 152.],1,[1 2 3]
[1],[1993],[100.15002509],[100.42147516],[0.54326299],[161.53788259],[255.],[0.],1,[1]
[1],[1101],[99.97820163],[100.50953678],[0.81376164],[182.38964578],[253.],[0.],1,[1]
[1],[2884],[100.04507628],[99.25797503],[0.39108547],[130.07073509],[251.],[56.],1,[1]
[1],[1830],[99.96939891],[100.59289617],[0.62864268],[177.70273224],[255.],[86.],1,[1]
[1],[1848],[101.67748918],[101.40205628],[0.18426672],[141.40746753],[255.],[0.],1,[1]
[1],[1041],[100.52449568],[100.129683],[0.87823329],[169.97022094],[255.],[3.],1,[1]
[1 2],[40 27],[110.7        114.48148148],[77.275      89.40740741],[0.76283671 0.65979801],[173.1        160.51851852],[202. 193.],[152. 126.],1,[1 2]
[1],[1214],[98.71828666],[99.51647446],[0.82413229],[165.57001647],[255.],[0.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1 2 3 4],[17 16 22 21],[ 83.          95.9375     108.90909091 118.85714286],[116.         121.875      117.90909091  83.        ],[0.70710678 0.66620386 0.4282594  0.54431455],[167.17647059 156.4375     179.54545455 170.23809524],[189. 176. 203. 194.],[153. 137. 159. 121.],1,[1 2 3 4]
[1],[1566],[101.32694764],[99.84099617],[0.63353419],[163.05363985],[255.],[0.],1,[1]
[1],[1531],[101.00457218],[99.83278903],[0.63553338],[159.67015023],[255.],[0.],1,[1]
[1 2],[35 21],[ 82.31428571 118.71428571],[110.54285714  75.85714286],[0.81780593 0.85941362],[160.05714286 150.23809524],[188. 164.],[137. 134.],1,[1 2]
[1],[771],[100.11154345],[101.13748379],[0.54983921],[180.28145266],[255.],[105.],1,[1]
[1],[1316],[101.93768997],[99.67477204],[0.64240412],[163.6056231],[253.],[63.],1,[1]
[1],[1563],[100.45169546],[100.81765835],[0.54341998],[140.02111324],[254.],[65.],1,[1]
[1],[2375],[99.14947368],[101.14526316],[0.90791281],[143.21178947],[254.],[66.],1,[1]
[1],[1215],[98.79506173],[100.72345679],[0.70033991],[150.],[255.],[64.],1,[1]
[1],[1353],[100.15816704],[101.22912047],[0.82941514],[173.19068736],[255.],[1.],1,[1]
[1],[2060],[99.85825243],[99.20873786],[0.8400558],[151.53106796],[255.],[0.],1,[1]
[1 2],[15 27],[106.66666667 111.51851852],[ 97.06666667 116.48148148],[0.8604396  0.74096991],[126.8        130.37037037],[132. 143.],[119. 122.],1,[1 2]
[1],[793],[99.4703657],[99.98738966],[0.87772263],[167.23833544],[251.],[96.],1,[1]
[1],[2069],[98.33736104],[102.49927501],[0.70274093],[153.83663606],[253.],[0.],1,[1]
[1],[192],[112.1875],[98.46354167],[0.5975392],[113.546875],[163.],[63.],1,[1]
[1],[639],[99.52269171],[100.6056338],[0.85080127],[164.7057903],[255.],[72.],1,[1]
[1],[1834],[100.42311887],[101.21810251],[0.77365798],[153.41930207],[254.],[72.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1957],[100.27286663],[100.35258048],[0.8454877],[154.23045478],[255.],[66.],1,[1]
[1],[731],[101.24213406],[98.95485636],[0.60948166],[149.35294118],[255.],[75.],1,[1]
[1 2 3],[22 22 25],[ 91.27272727 100.09090909 125.32      ],[114.95454545  91.09090909  97.68      ],[0.39271746 0.4282594  0.74543657],[146.5        153.04545455 165.16      ],[174. 183. 220.],[128. 136. 137.],1,[1 2 3]
[1 2 3 4 5 6 7 8],[24 22 15 33 26 28 28 29],"[ 75.5         76.40909091  88.33333333  92.96969697  94.15384615
 108.57142857 115.14285714 131.96551724]","[107.         130.90909091  82.46666667 106.57575758 121.61538462
  95.67857143  83.92857143  94.65517241]","[0.7875028  0.82318434 0.71317953 0.6762876  0.69568431 0.71396758
 0.65625262 0.70555929]","[168.625      161.68181818 159.33333333 190.27272727 166.
 196.03571429 186.21428571 159.20689655]",[192. 176. 177. 229. 182. 231. 212. 180.],[144. 148. 145. 156. 150. 171. 165. 141.],1,[1 2 3 4 5 6 7 8]
[1 2],[31 28],[ 82.25806452 120.5       ],[106.19354839  84.21428571],[0.70186894 0.19047619],[155.67741935 148.        ],[184. 188.],[130. 119.],1,[1 2]
[1],[3108],[100.97651223],[99.57818533],[0.62647385],[159.14671815],[254.],[16.],1,[1]
[1],[1338],[99.75560538],[100.97234679],[0.7637099],[147.71823617],[255.],[68.],1,[1]
[1 2 3],[35 24 37],[ 84.77142857 104.83333333 108.13513514],[109.48571429  87.20833333 110.86486486],[0.62484328 0.71660405 0.54306474],[172.28571429 168.79166667 170.10810811],[197. 198. 194.],[154. 147. 148.],1,[1 2 3]
[1],[1044],[101.2289272],[100.61015326],[0.7159795],[159.30938697],[251.],[84.],1,[1]
[1],[1810],[99.8839779],[102.32430939],[0.69367161],[151.48232044],[255.],[0.],1,[1]
[1],[1700],[99.63117647],[100.56352941],[0.58255572],[157.05411765],[253.],[74.],1,[1]
[1],[31],[82.93548387],[96.29032258],[0.884056],[144.06451613],[160.],[131.],1,[1]
[1],[253],[96.91699605],[107.12252964],[0.6752537],[141.28063241],[190.],[98.],1,[1]
[1],[1649],[99.86355367],[98.52213463],[0.59857957],[142.51970891],[252.],[59.],1,[1]
[1],[1285],[98.6077821],[101.21011673],[0.73151112],[164.37587549],[253.],[7.],1,[1]
[1],[447],[99.31991051],[100.57941834],[0.63528705],[184.87248322],[251.],[112.],1,[1]
[1],[1240],[100.43145161],[100.65564516],[0.54313771],[166.31129032],[255.],[11.],1,[1]
[1],[3276],[99.06013431],[100.07539683],[0.49891603],[176.93040293],[255.],[0.],1,[1]
[1],[81],[78.60493827],[114.50617284],[0.94026116],[171.49382716],[227.],[109.],1,[1]
[1],[1460],[99.2760274],[100.38219178],[0.6200795],[163.19520548],[255.],[0.],1,[1]
[1],[911],[100.78155873],[98.49506037],[0.56931187],[179.60373216],[253.],[86.],1,[1]
[1],[1719],[99.79755672],[98.29668412],[0.63974862],[153.75101803],[255.],[97.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1296],[100.60648148],[99.73302469],[0.65566988],[165.69444444],[253.],[1.],1,[1]
[1],[2620],[101.0778626],[100.33282443],[0.36742749],[170.57175573],[253.],[0.],1,[1]
[1 2],[25 52],[92.92       99.38461538],[101.2         89.32692308],[0.46325943 0.5033711 ],[157.2        153.61538462],[199. 191.],[124. 132.],1,[1 2]
[1],[1699],[99.88463802],[99.53031195],[0.29881234],[157.97586816],[249.],[0.],1,[1]
[1],[3912],[99.24948875],[100.47776074],[0.70937905],[168.0247955],[255.],[91.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1350],[99.57851852],[100.30518519],[0.46396075],[155.06888889],[254.],[0.],1,[1]
[1],[1289],[98.70131885],[100.97439876],[0.76386424],[143.57564003],[255.],[64.],1,[1]
[1],[1823],[101.63576522],[100.78277564],[0.4693719],[162.02468459],[254.],[0.],1,[1]
[1],[2673],[103.82042649],[101.96146652],[0.54828352],[132.48896371],[250.],[0.],1,[1]
[1 2 3 4 5],[19 21 28 28 32],[ 76.73684211  94.         102.82142857 111.39285714 123.84375   ],[ 91.36842105  95.          93.39285714 107.82142857 101.625     ],[0.44622584 0.         0.49384891 0.49384891 0.53448837],[172.84210526 170.85714286 176.96428571 172.57142857 180.28125   ],[208. 193. 215. 215. 248.],[144. 153. 150. 143. 125.],1,[1 2 3 4 5]
[],[],[],[],[],[],[],[],1,[]
[1],[785],[100.38980892],[100.08025478],[0.60270428],[186.79363057],[255.],[89.],1,[1]
[1],[1287],[101.73115773],[98.95493395],[0.85333004],[159.68453768],[255.],[65.],1,[1]
[1],[541],[108.04066543],[89.75600739],[0.89036191],[145.78743068],[250.],[100.],1,[1]
[1],[606],[99.65676568],[99.88778878],[0.80994082],[186.37953795],[255.],[99.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1117],[100.08952551],[100.06624888],[0.67250948],[157.11906893],[255.],[64.],1,[1]
[1 2 3 4],[19 21 15 25],[ 97.84210526 112.38095238 120.33333333 127.04      ],[124.15789474 121.42857143 114.73333333 100.24      ],[0.52070373 0.74737046 0.5526821  0.64419115],[151.42105263 168.71428571 144.13333333 170.28      ],[168. 197. 158. 195.],[140. 139. 133. 151.],1,[1 2 3 4]
[],[],[],[],[],[],[],[],1,[]
[1 2],[27 35],[86.25925926 93.42857143],[ 77.96296296 103.05714286],[0.82136826 0.78426065],[176.66666667 185.91428571],[214. 209.],[143. 164.],1,[1 2]
[1],[788],[98.04949239],[100.14213198],[0.79008879],[164.31979695],[255.],[0.],1,[1]
[1],[874],[101.13501144],[100.66590389],[0.76656912],[146.11556064],[252.],[74.],1,[1]
[1],[2015],[102.24863524],[96.45459057],[0.76048763],[157.77220844],[251.],[0.],1,[1]
[1],[2033],[100.38317757],[99.52926709],[0.42220332],[141.08903099],[255.],[6.],1,[1]
[1 2],[20 23],[102.75      117.2173913],[107.75       113.86956522],[0.27524094 0.54350217],[147.8        151.60869565],[165. 170.],[135. 133.],1,[1 2]
[1],[4157],[100.13808035],[100.02718306],[0.70497438],[156.21578061],[255.],[23.],1,[1]
[1],[195],[111.77948718],[110.09230769],[0.65181235],[143.82564103],[255.],[93.],1,[1]
[1],[1130],[99.42831858],[101.4920354],[0.60346147],[175.1],[255.],[0.],1,[1]
[1],[1431],[100.50314465],[100.85953878],[0.78083097],[142.76450035],[255.],[0.],1,[1]
[1],[1286],[100.51477449],[101.61508554],[0.78164415],[163.52954899],[252.],[0.],1,[1]
[1],[982],[102.72912424],[105.05702648],[0.89964977],[166.95824847],[255.],[98.],1,[1]
[1],[1853],[100.41230437],[99.79978413],[0.70821484],[143.72315165],[254.],[0.],1,[1]
[1 2],[23 29],[100.         103.65517241],[114.          90.17241379],[0.78713154 0.77182333],[175.69565217 170.68965517],[198. 199.],[155. 154.],1,[1 2]
[1],[1554],[98.91956242],[99.72458172],[0.73423961],[150.12290862],[248.],[3.],1,[1]
[1],[65],[95.36923077],[92.15384615],[0.2956317],[174.21538462],[235.],[138.],1,[1]
[1 2 3],[16 19 20],[ 77.375      108.57894737 108.5       ],[ 99.75        85.31578947 126.5       ],[0.50835416 0.7766615  0.73029674],[144.         149.57894737 136.05      ],[153. 166. 155.],[135. 135. 122.],1,[1 2 3]
[1],[1687],[99.39834025],[100.12922347],[0.40089198],[160.78838174],[248.],[76.],1,[1]
[1],[1944],[99.36265432],[101.1100823],[0.65120457],[165.92438272],[255.],[24.],1,[1]
[1],[1257],[99.7788385],[99.48050915],[0.49456802],[164.47653142],[255.],[0.],1,[1]
[1],[1315],[100.60912548],[99.9581749],[0.81553179],[165.37338403],[253.],[0.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1325],[102.68226415],[100.97735849],[0.72085782],[134.06339623],[249.],[69.],1,[1]
[1],[1307],[100.45524101],[101.23182862],[0.73782595],[159.91660291],[255.],[5.],1,[1]
[1],[1013],[101.15498519],[99.1816387],[0.77853533],[150.01283317],[255.],[62.],1,[1]
[1],[767],[98.70143416],[101.55932203],[0.34481548],[165.7053455],[255.],[93.],1,[1]
[1],[1764],[99.76870748],[98.47505669],[0.67559156],[152.76473923],[255.],[0.],1,[1]
[1 2 3 4],[34 18 17 18],[ 94.         102.         102.         103.44444444],[ 82.91176471  69.5        125.          61.77777778],[0.93048723 0.69348374 0.70710678 0.57323861],[162.5        130.05555556 159.29411765 148.11111111],[183. 142. 174. 172.],[137. 121. 143. 124.],1,[1 2 3 4]
[1],[1246],[100.45585875],[99.59149278],[0.51154269],[153.32263242],[254.],[0.],1,[1]
[1 2 3],[32 26 39],[ 91.625       96.61538462 104.71794872],[ 92.84375    115.15384615  96.05128205],[0.53448837 0.31446554 0.3713538 ],[172.40625    172.69230769 153.58974359],[211. 204. 194.],[148. 147. 129.],1,[1 2 3]
[],[],[],[],[],[],[],[],1,[]
[1],[1791],[100.70854271],[99.79508654],[0.79893172],[150.93690676],[255.],[0.],1,[1]
[1],[3179],[100.11764706],[100.76093111],[0.50973703],[158.08052847],[253.],[83.],1,[1]
[1 2],[68 18],[104.04411765 112.27777778],[ 74.54411765 131.38888889],[0.67517986 0.72265914],[169.82352941 134.55555556],[198. 148.],[140. 123.],1,[1 2]
[],[],[],[],[],[],[],[],1,[]
[1],[1728],[99.69155093],[100.0625],[0.89279966],[138.94212963],[254.],[68.],1,[1]
[1],[1657],[100.5998793],[99.36994568],[0.65734345],[149.69402535],[255.],[0.],1,[1]
[1],[1580],[99.24810127],[100.25379747],[0.63070894],[174.26898734],[254.],[80.],1,[1]
[1],[2133],[99.26769808],[100.22222222],[0.85696247],[154.63806845],[249.],[3.],1,[1]
[1],[2893],[101.78361562],[105.3587971],[0.48623091],[162.08365019],[254.],[1.],1,[1]
[1 2],[33 23],[115.21212121 117.        ],[87.36363636 98.        ],[0.64937941 0.56568542],[140.96969697 149.04347826],[160. 171.],[123. 128.],1,[1 2]
[1],[452],[108.36725664],[109.27433628],[0.68625332],[162.46681416],[255.],[79.],1,[1]
[1],[1119],[100.98927614],[102.11438785],[0.76837815],[154.93386953],[255.],[0.],1,[1]
[1],[979],[100.54749745],[100.43820225],[0.57924033],[179.28804903],[253.],[11.],1,[1]
[1],[1410],[103.20212766],[102.09432624],[0.94197258],[153.06595745],[255.],[81.],1,[1]
[1],[1447],[99.98894264],[100.01727713],[0.65906071],[159.447132],[255.],[0.],1,[1]
[1],[17],[78.64705882],[100.],[0.29704426],[157.17647059],[173.],[141.],1,[1]
[1],[3016],[99.70192308],[98.50729443],[0.53135994],[143.3285809],[255.],[0.],1,[1]
[1],[1551],[99.32624113],[101.09284333],[0.8110589],[153.95809155],[255.],[9.],1,[1]
[1],[1540],[100.52792208],[100.5],[0.36955917],[176.69805195],[254.],[0.],1,[1]
[1],[1025],[99.44097561],[99.17365854],[0.72013019],[142.09170732],[255.],[65.],1,[1]
[1],[1718],[99.96041909],[100.72759022],[0.48683569],[146.10302678],[255.],[10.],1,[1]
[1],[66],[109.28787879],[98.43939394],[0.91697078],[159.86363636],[179.],[140.],1,[1]
[1],[1757],[103.02219693],[102.08081958],[0.70235241],[180.1752988],[249.],[0.],1,[1]
[1],[22],[122.68181818],[99.68181818],[0.71076075],[163.45454545],[192.],[140.],1,[1]
[1],[1218],[100.97044335],[102.01231527],[0.54236834],[167.25369458],[249.],[0.],1,[1]
[1 2 3 4],[34 20 20 32],[ 81.97058824  83.25        98.15       115.3125    ],[ 74.26470588 107.75       104.85        77.5625    ],[0.52145072 0.27524094 0.61364371 0.31435653],[196.08823529 197.05       201.         211.4375    ],[245. 218. 220. 253.],[166. 176. 186. 182.],1,[1 2 3 4]
[1],[781],[99.04353393],[100.59026889],[0.55634259],[194.98847631],[253.],[72.],1,[1]
[1],[3185],[102.40533752],[98.04960754],[0.75530818],[151.73186813],[255.],[0.],1,[1]
